date,open,high,low,close,volume,amount
2018-06-11,15.47,18.57,15.47,18.57,78829.0,2845472.0
2018-06-12,20.42,20.42,20.42,20.42,26579.0,1058376.0
2018-06-13,22.46,22.46,22.46,22.46,45030.0,1972314.0
2018-06-14,24.71,24.71,24.71,24.71,74267.0,3578184.0
2018-06-15,27.18,27.18,27.18,27.18,256510.0,13595030.0
2018-06-19,29.9,29.9,29.9,29.9,1117428.0,65146052.0
2018-06-20,32.89,32.89,32.89,32.89,1310382.0,84034798.0
2018-06-21,36.18,36.18,36.18,36.18,1231660.0,86881296.0
2018-06-22,36.93,37.29,32.56,34.13,128170599.0,8599728956.0
2018-06-25,34.98,36.72,34.48,35.49,69981999.0,4868406844.0
2018-06-26,34.82,38.75,34.41,38.05,62553547.0,4537098812.0
2018-06-27,38.06,38.43,36.81,38.0,44138862.0,3241043473.0
2018-06-28,37.59,38.67,34.59,34.98,53080981.0,3770134241.0
2018-06-29,35.22,38.11,34.76,36.91,45698575.0,3231958793.0
2018-07-02,36.31,36.66,35.45,35.9,32470182.0,2278646005.0
2018-07-03,36.0,36.51,33.77,35.54,33910064.0,2337186968.0
2018-07-04,34.95,34.95,33.59,33.81,26282197.0,1749919478.0
2018-07-05,33.34,36.87,33.28,35.29,34337783.0,2343510067.0
2018-07-06,35.29,38.21,35.23,36.35,49213427.0,3511358607.0
2018-07-09,36.31,36.71,35.45,36.7,31068979.0,2183986506.0
2018-07-10,38.47,38.92,36.75,37.13,36484401.0,2666043240.0
2018-07-11,35.9,40.49,35.69,39.52,49120805.0,3695050774.0
2018-07-12,38.99,43.48,38.77,43.48,43085212.0,3430182907.0
2018-07-13,42.06,45.37,41.56,42.42,48202055.0,4049051405.0
2018-07-16,42.42,43.47,41.08,43.03,29515196.0,2439742029.0
2018-07-17,42.63,43.17,40.86,42.2,28615349.0,2336837085.0
2018-07-18,42.2,43.27,41.09,42.2,27113839.0,2233771785.0
2018-07-19,42.06,43.67,41.37,42.51,25074483.0,2089886954.0
2018-07-20,42.31,46.76,42.06,46.64,42695635.0,3750334638.0
2018-07-23,45.65,46.44,44.9,45.45,25014352.0,2223986141.0
2018-07-24,45.39,47.68,44.88,47.07,26501025.0,2395962686.0
2018-07-25,46.67,48.76,42.36,42.36,45719348.0,4027958764.0
2018-07-26,41.29,42.36,39.29,40.11,39286999.0,3115796617.0
2018-07-27,40.0,40.33,38.81,39.0,22809584.0,1748397062.0
2018-07-30,39.24,39.67,38.47,39.41,18041846.0,1377263289.0
2018-07-31,39.38,39.38,36.16,37.04,28128307.0,2055880225.0
2018-08-01,36.93,37.76,36.42,36.63,17933649.0,1298707855.0
2018-08-02,36.11,37.59,35.93,37.21,19853529.0,1429095208.0
2018-08-03,36.8,37.51,35.21,35.7,17288867.0,1223071470.0
2018-08-06,35.39,36.46,34.67,35.72,15706945.0,1096989858.0
2018-08-07,36.15,38.19,35.9,37.85,19964947.0,1445537173.0
2018-08-08,37.7,37.74,36.47,36.68,14770817.0,1067594666.0
2018-08-09,36.62,38.8,36.06,37.98,18474864.0,1364797400.0
2018-08-10,37.75,38.2,37.45,38.18,11673860.0,862092551.0
2018-08-13,37.44,38.05,36.94,37.96,10949557.0,800760026.0
2018-08-14,37.85,37.9,36.64,36.71,11735618.0,847545778.0
2018-08-15,36.4,36.94,35.39,35.45,12916705.0,905177224.0
2018-08-16,34.88,35.84,33.96,35.38,10715293.0,733358635.0
2018-08-17,35.85,36.16,34.93,34.96,8224837.0,570722229.0
2018-08-20,34.81,35.45,33.85,35.36,10922929.0,739769194.0
2018-08-21,35.37,36.3,34.89,35.68,10208839.0,709924231.0
2018-08-22,35.42,36.03,34.47,34.6,8999917.0,617772714.0
2018-08-23,34.7,35.72,34.4,35.44,12193136.0,835080332.0
2018-08-24,34.78,36.52,34.72,35.29,13360932.0,931622756.0
2018-08-27,35.17,36.4,34.82,36.14,12915092.0,900979595.0
2018-08-28,36.21,38.12,36.11,37.45,18813962.0,1362031257.0
2018-08-29,37.24,37.7,36.83,37.45,10333837.0,749871852.0
2018-08-30,37.54,37.95,35.71,35.9,13681809.0,979226463.0
2018-08-31,35.13,35.49,33.34,33.59,15901213.0,1072916774.0
2018-09-03,33.23,33.23,31.29,32.44,15910805.0,998632540.0
2018-09-04,32.41,32.95,32.19,32.75,8067558.0,512634921.0
2018-09-05,32.62,32.81,31.49,31.49,9689281.0,604400369.0
2018-09-06,31.08,32.13,30.94,31.72,8854073.0,547542957.0
2018-09-07,32.05,33.28,31.91,32.48,12748586.0,813256861.0
2018-09-10,32.6,32.72,31.29,31.47,6545100.0,404054152.0
2018-09-11,31.49,32.39,31.49,32.09,6629327.0,413926190.0
2018-09-12,32.21,33.47,32.11,33.08,12115986.0,779904479.0
2018-09-13,33.67,33.9,32.51,33.23,9852036.0,637747214.0
2018-09-14,34.0,35.39,33.78,33.8,15831828.0,1068356171.0
2018-09-17,33.12,33.58,32.61,32.68,7131416.0,460645758.0
2018-09-18,32.31,34.06,32.31,34.03,7789233.0,505525626.0
2018-09-19,33.84,35.16,33.57,34.53,9502594.0,637368900.0
2018-09-20,34.37,35.85,34.37,34.87,10200717.0,703066410.0
2018-09-21,35.2,35.85,34.8,35.49,7748207.0,535412407.0
2018-09-25,35.08,35.54,34.73,35.05,4204191.0,287948499.0
2018-09-26,35.21,37.7,35.21,37.38,16061574.0,1149820351.0
2018-09-27,37.06,38.44,36.77,37.21,13694667.0,1005558177.0
2018-09-28,36.98,38.51,36.98,37.44,11921098.0,880458280.0
2018-10-08,36.87,36.87,34.77,35.11,13116724.0,915229220.0
2018-10-09,35.34,35.47,32.88,33.29,13389377.0,888448838.0
2018-10-10,33.65,33.75,32.62,33.29,7163213.0,464126637.0
2018-10-11,31.74,32.55,30.52,31.0,12809465.0,785418489.0
2018-10-12,31.0,32.39,30.97,32.24,8600315.0,531900783.0
2018-10-15,35.29,35.47,34.81,35.47,19801487.0,1362852724.0
2018-10-16,35.9,36.09,34.85,35.31,10452197.0,723312823.0
2018-10-17,35.78,36.81,35.5,35.9,14232165.0,1000278467.0
2018-10-18,35.23,36.62,33.6,34.89,10810902.0,741423985.0
2018-10-19,34.37,38.09,34.37,37.84,14125112.0,1008056887.0
2018-10-22,38.0,41.59,38.0,40.57,18106362.0,1408026235.0
2018-10-23,40.06,41.01,39.03,40.0,12736627.0,987704574.0
2018-10-24,39.92,40.76,39.04,39.49,10042803.0,782578265.0
2018-10-25,38.47,41.84,38.21,41.5,13372207.0,1042168318.0
2018-10-26,41.38,41.38,37.45,38.26,17691702.0,1361043435.0
2018-10-29,38.44,38.67,36.21,36.29,12719771.0,923032363.0
2018-10-30,36.23,38.65,35.84,38.47,12887554.0,939263219.0
2018-10-31,38.61,39.71,38.06,38.21,9794351.0,743436076.0
2018-11-01,38.57,39.4,37.55,37.75,9723959.0,733949880.0
2018-11-02,39.05,40.33,39.0,40.25,13705894.0,1059238489.0
2018-11-05,40.25,42.3,39.9,40.72,13063517.0,1045459980.0
2018-11-06,40.53,42.26,38.98,41.84,12165834.0,954114790.0
2018-11-07,41.13,42.25,40.11,40.54,12658732.0,1013339457.0
2018-11-08,40.95,41.23,39.44,39.65,8044866.0,630122241.0
2018-11-09,39.49,40.54,39.32,39.88,6063937.0,473740955.0
2018-11-12,39.49,42.98,39.34,42.7,14889918.0,1205794048.0
2018-11-13,42.06,42.32,40.93,41.87,14287007.0,1158416128.0
2018-11-14,41.24,42.57,40.9,41.54,10790715.0,873812069.0
2018-11-15,41.24,42.16,40.98,41.72,7576857.0,614559637.0
2018-11-16,41.89,41.93,40.32,41.09,9809408.0,785031530.0
2018-11-19,40.82,41.79,40.52,40.7,7259001.0,579343249.0
2018-11-20,40.37,40.62,39.78,39.89,7722096.0,603966809.0
2018-11-21,39.75,40.9,39.24,40.34,7314829.0,573993355.0
2018-11-22,40.11,40.74,39.8,39.96,4071768.0,318546094.0
2018-11-23,39.96,39.98,37.9,37.94,10403744.0,782322413.0
2018-11-26,37.85,38.4,37.34,38.27,7610013.0,561073991.0
2018-11-27,38.3,39.41,37.83,38.77,7953332.0,599419288.0
2018-11-28,38.85,40.76,38.59,40.35,9918840.0,772880030.0
2018-11-29,40.77,41.8,40.02,40.02,9736251.0,778202196.0
2018-11-30,40.01,41.54,40.01,41.05,9067577.0,724258624.0
2018-12-03,42.32,42.82,41.32,41.47,12645226.0,1034073820.0
2018-12-04,41.13,42.61,41.05,42.21,9579665.0,785692897.0
2018-12-05,41.54,42.36,41.34,41.73,7391554.0,602269930.0
2018-12-06,41.44,42.2,40.52,40.52,11385399.0,917634577.0
2018-12-07,40.61,41.27,40.61,40.88,5642133.0,450938752.0
2018-12-10,40.75,41.22,39.39,40.15,7606831.0,593846046.0
2018-12-11,40.26,40.61,39.91,40.29,3450062.0,270881624.0
2018-12-12,40.69,42.05,40.52,41.8,9472483.0,767328382.0
2018-12-13,42.02,42.19,41.33,42.11,7244428.0,591252237.0
2018-12-14,42.02,42.3,40.68,40.69,7090513.0,573225336.0
2018-12-17,40.41,41.28,39.49,41.11,6864481.0,540779216.0
2018-12-18,40.52,41.33,40.35,40.8,4885589.0,388830543.0
2018-12-19,40.6,41.9,40.18,40.77,7092653.0,567762540.0
2018-12-20,40.71,40.72,39.1,39.67,9773738.0,757316341.0
2018-12-21,39.77,40.26,38.77,40.26,8873743.0,681882662.0
2018-12-24,39.84,40.64,39.5,40.02,5938803.0,463915421.0
2018-12-25,39.51,39.87,38.8,39.59,6588306.0,504970962.0
2018-12-26,39.59,39.95,38.74,38.93,4925282.0,376715931.0
2018-12-27,39.59,39.74,38.87,38.87,4881471.0,373262649.0
2018-12-28,38.82,39.3,37.85,37.85,5629239.0,424092161.0
2019-01-02,38.08,38.45,37.71,37.78,4394096.0,326259379.0
2019-01-03,37.19,38.23,37.19,37.87,4494903.0,332238738.0
2019-01-04,37.61,39.61,37.56,39.47,7905331.0,602100011.0
2019-01-07,39.46,39.83,39.13,39.71,5969559.0,460577318.0
2019-01-08,39.6,40.75,39.59,40.69,8574990.0,674107579.0
2019-01-09,39.49,40.11,38.56,39.99,12379879.0,952624090.0
2019-01-10,39.82,39.93,38.99,39.12,8394273.0,644858369.0
2019-01-11,39.29,39.36,38.36,38.61,6136703.0,463701251.0
2019-01-14,38.62,39.15,38.11,39.02,4848795.0,366505970.0
2019-01-15,38.98,39.74,38.39,39.68,5873635.0,448317234.0
2019-01-16,39.44,39.59,39.19,39.32,2573862.0,197749843.0
2019-01-17,39.47,39.85,39.19,39.32,3718809.0,286721587.0
2019-01-18,39.57,39.57,37.95,38.67,6503927.0,488797283.0
2019-01-21,38.48,38.79,38.09,38.59,5241159.0,392168954.0
2019-01-22,38.47,38.81,37.97,38.09,4258858.0,318440028.0
2019-01-23,38.09,38.8,37.96,38.69,4884798.0,367089067.0
2019-01-24,38.47,38.91,38.31,38.55,3798418.0,286305028.0
2019-01-25,38.79,40.41,38.55,39.72,9118956.0,707431984.0
2019-01-28,40.06,40.14,38.99,39.01,4628893.0,355879562.0
2019-01-29,39.11,39.69,38.0,39.33,5236313.0,395374219.0
2019-01-30,38.12,39.68,37.75,39.08,7707782.0,583430175.0
2019-01-31,39.12,39.89,39.0,39.04,4412755.0,339614008.0
2019-02-01,39.32,40.6,39.08,40.21,6214411.0,483480057.0
2019-02-11,40.51,41.74,40.51,41.54,8343327.0,670709804.0
2019-02-12,41.29,41.85,41.05,41.54,4989121.0,402647823.0
2019-02-13,41.44,42.86,41.22,41.9,7877177.0,647619276.0
2019-02-14,41.8,45.58,41.72,43.45,12723314.0,1084873165.0
2019-02-15,43.29,44.11,42.26,42.27,10515313.0,880799440.0
2019-02-18,42.65,43.53,42.34,43.32,8778720.0,735318290.0
2019-02-19,43.42,43.48,41.95,42.2,9425786.0,782086065.0
2019-02-20,42.47,43.34,42.11,42.66,6067442.0,506750854.0
2019-02-21,42.42,43.53,42.21,42.74,8228772.0,690870556.0
2019-02-22,42.57,43.75,42.11,43.27,8960036.0,752183501.0
2019-02-25,43.99,47.01,43.99,46.84,15411302.0,1380347010.0
2019-02-26,46.16,46.57,44.97,45.39,11324211.0,1009210795.0
2019-02-27,44.98,45.85,43.75,44.13,9103790.0,795251090.0
2019-02-28,44.11,45.74,44.11,44.98,7239918.0,637896403.0
2019-03-01,46.72,47.64,45.85,46.17,9619284.0,873963510.0
2019-03-04,46.93,48.81,46.53,47.38,14036947.0,1306102150.0
2019-03-05,47.38,47.69,46.77,47.49,8615692.0,793012159.0
2019-03-06,47.76,48.11,45.84,46.77,10432922.0,949501269.0
2019-03-07,46.6,46.6,44.46,45.08,13707148.0,1210805141.0
2019-03-08,44.11,45.29,43.45,43.58,11069663.0,951944818.0
2019-03-11,43.46,45.23,43.36,45.09,9354658.0,813096538.0
2019-03-12,46.98,48.13,45.75,46.71,14763435.0,1352038771.0
2019-03-13,46.67,46.67,44.98,45.17,7577721.0,674377765.0
2019-03-14,45.12,46.41,44.78,45.62,7982575.0,710913723.0
2019-03-15,46.16,46.88,45.63,46.07,7821543.0,707054565.0
2019-03-18,46.1,46.16,45.08,45.79,7275762.0,646068127.0
2019-03-19,45.72,47.12,45.13,45.44,6817028.0,611077098.0
2019-03-20,45.39,45.39,44.02,44.71,8814118.0,764749352.0
2019-03-21,44.62,45.34,44.08,44.68,8135960.0,707343506.0
2019-03-22,44.68,44.68,43.7,44.41,6018992.0,518360063.0
2019-03-25,45.12,46.46,44.63,45.65,12990646.0,1158349085.0
2019-03-26,45.14,45.38,43.54,43.75,9719783.0,836361948.0
2019-03-27,43.85,44.38,42.21,42.78,9492122.0,795590923.0
2019-03-28,42.74,43.27,42.11,42.67,5857193.0,487897668.0
2019-03-29,42.78,43.59,42.39,43.59,7124126.0,598855279.0
2019-04-01,43.68,44.6,43.59,44.29,9239090.0,794157527.0
2019-04-02,44.29,44.33,43.25,43.58,10241327.0,869961309.0
2019-04-03,43.49,43.7,43.02,43.33,7184038.0,605819178.0
2019-04-04,43.4,43.68,43.08,43.17,6679609.0,564517874.0
2019-04-08,43.45,43.54,41.59,42.2,11376979.0,941060714.0
2019-04-09,43.47,43.72,42.52,43.04,11942266.0,1003599921.0
2019-04-10,42.98,42.98,41.9,42.18,10840837.0,890277783.0
2019-04-11,42.18,42.36,41.33,41.4,8953765.0,728469345.0
2019-04-12,41.5,42.37,41.5,42.05,5935673.0,486028531.0
2019-04-15,42.47,42.57,41.52,41.53,5995060.0,491053132.0
2019-04-16,41.29,42.19,41.22,42.19,5718722.0,464852034.0
2019-04-17,42.83,44.25,42.83,44.16,20500478.0,1752514964.0
2019-04-18,44.17,44.26,43.3,43.42,7061781.0,601487607.0
2019-04-19,43.35,43.59,42.52,42.67,6296775.0,524874429.0
2019-04-22,42.68,42.88,41.56,41.66,6649229.0,543402295.0
2019-04-23,41.29,41.36,38.47,40.09,11525936.0,898901903.0
2019-04-24,40.1,40.96,39.7,40.92,5134374.0,404380494.0
2019-04-25,40.31,41.47,40.06,40.57,5297314.0,422497288.0
2019-04-26,40.52,41.21,40.51,40.7,3491801.0,278261725.0
2019-04-29,41.54,41.73,40.59,40.92,4788277.0,383749258.0
2019-04-30,40.93,41.33,40.59,40.91,3109077.0,248280438.0
2019-05-06,39.43,39.83,38.5,38.82,6543106.0,499354099.0
2019-05-07,38.98,39.71,38.78,38.9,3711940.0,283552905.0
2019-05-08,38.41,39.07,37.8,38.27,3499581.0,261613986.0
2019-05-09,37.95,38.51,37.25,37.29,4813423.0,353504943.0
2019-05-10,37.69,38.2,36.27,38.0,5407424.0,396995566.0
2019-05-13,37.47,37.57,36.55,36.72,4632721.0,334093983.0
2019-05-14,36.89,37.54,36.88,37.01,4332993.0,313815477.0
2019-05-15,37.18,38.54,37.18,38.46,6619534.0,491578063.0
2019-05-16,38.36,38.38,37.9,38.12,3737156.0,277622387.0
2019-05-17,38.32,38.32,36.89,37.06,3600307.0,263549588.0
2019-05-20,36.6,36.97,34.82,35.74,4523747.0,315226938.0
2019-05-21,36.01,36.51,35.84,35.98,3194938.0,225101966.0
2019-05-22,36.27,36.37,35.52,35.58,2782387.0,194769382.0
2019-05-23,35.29,35.52,34.52,34.61,4401686.0,298347370.0
