date,open,high,low,close,volume,amount
2001-08-27,3.98,4.35,3.79,4.1,40631800.0,1410347179.0
2001-08-28,4.03,4.26,3.99,4.25,12964779.0,463463143.0
2001-08-29,4.26,4.26,4.16,4.19,5325275.0,194689620.0
2001-08-30,4.18,4.32,4.15,4.28,4801306.0,177558558.0
2001-08-31,4.28,4.34,4.24,4.27,2323148.0,86231237.0
2001-09-03,4.29,4.33,4.25,4.26,2211209.0,82129438.0
2001-09-04,4.27,4.39,4.25,4.32,3700677.0,139204380.0
2001-09-05,4.33,4.37,4.29,4.31,2606695.0,97796243.0
2001-09-06,4.3,4.32,4.21,4.23,2899703.0,107078403.0
2001-09-07,4.21,4.26,4.11,4.11,3155225.0,113868743.0
2001-09-10,4.08,4.25,4.03,4.23,1887889.0,68406471.0
2001-09-11,4.24,4.26,4.17,4.18,1139081.0,41579698.0
2001-09-12,4.07,4.17,4.07,4.15,2504519.0,89421380.0
2001-09-13,4.15,4.18,4.11,4.14,1098668.0,39512775.0
2001-09-14,4.15,4.21,4.13,4.18,767283.0,27740691.0
2001-09-17,4.16,4.18,4.09,4.13,898397.0,32183249.0
2001-09-18,4.14,4.21,4.13,4.18,1077326.0,39006062.0
2001-09-19,4.18,4.25,4.16,4.25,865053.0,31597369.0
2001-09-20,4.25,4.27,4.21,4.22,1117335.0,41189577.0
2001-09-21,4.18,4.22,4.15,4.16,787972.0,28638681.0
2001-09-24,4.16,4.19,4.15,4.15,406860.0,14703096.0
2001-09-25,4.18,4.21,4.15,4.18,348845.0,12639790.0
2001-09-26,4.16,4.2,4.15,4.16,495626.0,17892565.0
2001-09-27,4.16,4.26,4.15,4.23,877804.0,32085131.0
2001-09-28,4.25,4.29,4.21,4.27,1708847.0,63169143.0
2001-10-08,4.26,4.28,4.18,4.22,655217.0,24091149.0
2001-10-09,4.22,4.32,4.22,4.3,955852.0,35498605.0
2001-10-10,4.3,4.31,4.15,4.16,1754869.0,63956753.0
2001-10-11,4.15,4.21,4.11,4.12,1230684.0,44319896.0
2001-10-12,4.14,4.22,3.92,4.15,2001070.0,70897331.0
2001-10-15,4.14,4.15,4.02,4.07,975531.0,34501714.0
2001-10-16,4.05,4.13,4.0,4.01,831991.0,29068173.0
2001-10-17,4.01,4.01,3.91,3.94,1250768.0,42766283.0
2001-10-18,3.94,3.99,3.91,3.92,498346.0,16999063.0
2001-10-19,3.92,3.94,3.8,3.86,1568754.0,52422843.0
2001-10-22,3.84,3.88,3.77,3.78,976065.0,32268911.0
2001-10-23,4.15,4.16,4.03,4.16,4059824.0,145710538.0
2001-10-24,4.24,4.24,4.05,4.13,4068239.0,147001102.0
2001-10-25,4.11,4.13,4.02,4.02,1603686.0,56527283.0
2001-10-26,4.0,4.05,3.97,4.03,900220.0,31280145.0
2001-10-29,4.02,4.11,4.02,4.07,458786.0,16205054.0
2001-10-30,4.06,4.09,4.02,4.03,348417.0,12214728.0
2001-10-31,4.03,4.04,4.01,4.04,476247.0,16633345.0
2001-11-01,4.04,4.11,4.03,4.1,664303.0,23511580.0
2001-11-02,4.07,4.12,4.05,4.08,343520.0,12189356.0
2001-11-05,4.03,4.06,4.0,4.02,369076.0,12879737.0
2001-11-06,4.01,4.07,4.0,4.05,260931.0,9138666.0
2001-11-07,4.03,4.03,3.9,3.9,932538.0,31791131.0
2001-11-08,3.84,3.91,3.8,3.88,740216.0,24682905.0
2001-11-09,3.88,3.97,3.84,3.94,376076.0,12737203.0
2001-11-12,3.96,3.96,3.86,3.87,268333.0,9088858.0
2001-11-13,3.84,3.88,3.83,3.88,267381.0,8965279.0
2001-11-14,3.88,3.92,3.88,3.88,76900.0,2599260.0
2001-11-15,3.88,3.9,3.86,3.88,219345.0,7378238.0
2001-11-16,4.17,4.17,3.92,3.93,995470.0,34600364.0
2001-11-19,3.94,4.04,3.93,4.04,373461.0,12950484.0
2001-11-20,4.06,4.09,4.02,4.08,806908.0,28559195.0
2001-11-21,4.09,4.09,4.02,4.05,511442.0,17957630.0
2001-11-22,4.06,4.07,4.02,4.05,419879.0,14713840.0
2001-11-23,4.03,4.06,4.01,4.03,396090.0,13866447.0
2001-11-26,4.03,4.03,3.98,3.99,310099.0,10749495.0
2001-11-27,3.99,4.04,3.99,4.03,256948.0,8954894.0
2001-11-28,4.04,4.08,4.02,4.04,377362.0,13256608.0
2001-11-29,4.03,4.06,4.01,4.01,304618.0,10658762.0
2001-11-30,4.01,4.09,4.01,4.07,407097.0,14292950.0
2001-12-03,4.07,4.18,4.07,4.17,1603705.0,57741700.0
2001-12-04,4.18,4.18,4.13,4.17,689499.0,24859860.0
2001-12-05,4.26,4.26,4.14,4.15,1502835.0,54737513.0
2001-12-06,4.14,4.18,4.13,4.16,637222.0,23004767.0
2001-12-07,4.16,4.17,4.13,4.13,390820.0,14031912.0
2001-12-10,4.15,4.16,4.12,4.15,416156.0,14941666.0
2001-12-11,4.15,4.15,4.1,4.11,358002.0,12821499.0
2001-12-12,4.1,4.16,4.1,4.12,463267.0,16611472.0
2001-12-13,4.1,4.15,4.06,4.06,354045.0,12580276.0
2001-12-14,4.04,4.09,4.04,4.06,284125.0,10026619.0
2001-12-17,4.05,4.1,4.04,4.08,441389.0,15611050.0
2001-12-18,4.09,4.14,4.05,4.14,482120.0,17167382.0
